,State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Hindus,Muslims,Age_Group_0_29,sex_ratio,literacy_rate
370,Punjab,Sangrur,30.185045204336895,75.89437014178496,53,1655169,10736,389410,179116,904316,89.0,61.0
371,Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119,2583052,13499,2201663,314159,1561077,95.0,59.0
372,Rajasthan,Alwar,27.55271738035265,76.65359630562563,104,3674179,9750,3039279,547335,2346721,89.0,59.0
373,Rajasthan,Banswara,23.453642032967014,74.44246868131869,125,1797485,2324,1701234,48834,1153029,98.0,46.0
374,Rajasthan,Baran,24.98023243243244,76.86210651828291,128,1222755,1363,1133349,79984,762204,93.0,57.0
375,Rajasthan,Barmer,25.77070908045978,71.50297126436782,115,2603751,2766,2244882,321192,1731122,90.0,46.0
376,Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105,2548462,4179,2143046,371286,1659515,88.0,58.0
377,Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,122,2408523,6207,2224839,142427,1439454,97.0,52.0
378,Rajasthan,Bikaner,28.12489068322981,73.26943322981371,101,2363937,7607,2073356,235741,1543867,91.0,54.0
379,Rajasthan,Bundi,25.48580716049379,75.79984074074079,121,1110906,1392,1017688,66609,686771,92.0,53.0
380,Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126,1544338,4941,1413163,97855,880043,97.0,53.0
381,Rajasthan,Churu,28.29330375536484,74.65846427038629,102,2039547,2577,1777879,249736,1293193,94.0,56.0
382,Rajasthan,Dausa,26.91234817629181,76.57342097264443,109,1634409,1719,1582335,45488,1047136,91.0,57.0
383,Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,106,1206516,1330,1127520,72258,815651,85.0,57.0
384,Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,124,1388552,1477,1340065,28662,868458,99.0,49.0
385,Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,99,1969168,6295,1437144,50688,1167889,89.0,61.0
386,Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,100,1774692,3360,1433067,118673,1058044,91.0,58.0
387,Rajasthan,Jaipur,27.033459290187885,75.77117286012533,110,6626178,76565,5819980,687452,4091148,91.0,65.0
388,Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,114,669919,754,497045,168129,448969,85.0,46.0
389,Rajasthan,Jalor,25.07578093797277,72.18647261724662,116,1828730,1585,1732852,78990,1176496,95.0,45.0
390,Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,129,1411129,1750,1299751,96164,850546,95.0,52.0
391,Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,103,2137045,4828,1905682,228178,1298780,95.0,64.0
392,Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,113,3687165,19335,3224399,411558,2359786,92.0,55.0
393,Rajasthan,Karauli,26.51901555555556,76.96081818181815,107,1458248,1059,1370977,81553,947173,86.0,55.0
394,Rajasthan,Kota,25.175718080000014,76.18618928000001,127,1951014,12843,1661307,243993,1177474,91.0,67.0
395,Rajasthan,Nagaur,27.07862016048146,74.14215667001012,112,3307743,4449,2833443,454487,2088323,95.0,53.0
396,Rajasthan,Pali,25.80490393541874,73.55285640766907,118,2037573,4043,1870543,143476,1207983,99.0,53.0
397,Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,123,1156597,1989,1105676,33677,687165,99.0,54.0
398,Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,108,1335551,1887,1165505,155681,841697,90.0,56.0
399,Rajasthan,Sikar,27.64644058641976,75.29317422839503,111,2677333,5647,2342076,327583,1672813,95.0,62.0
400,Rajasthan,Sirohi,24.7976905263158,72.75309131578943,117,1036346,2146,996562,30479,649290,94.0,46.0
401,Rajasthan,Tonk,26.153935071707927,75.79192216427637,120,1421326,1908,1243527,153146,880194,95.0,53.0
402,Rajasthan,Udaipur,24.44076752136749,73.84029839743584,130,3068420,14211,2869976,104307,1876436,96.0,52.0
403,Sikkim,East,27.29600352941175,88.74908392156858,93,1709346,80037,1410852,178807,948963,88.0,79.0
404,Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,616,754894,1749,708397,7942,380484,101.0,64.0
405,Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,603,4646732,217368,3751322,439270,2271657,99.0,81.0
406,Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,632,3458045,63273,3044145,211035,1579517,100.0,76.0
